지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
90,속초,2023-03-23 01:00,41
90,속초,2023-03-23 02:00,44
90,속초,2023-03-23 03:00,47
90,속초,2023-03-23 04:00,50
90,속초,2023-03-23 05:00,48
90,속초,2023-03-23 06:00,40
90,속초,2023-03-23 07:00,38
90,속초,2023-03-23 08:00,39
90,속초,2023-03-23 09:00,37
90,속초,2023-03-23 10:00,48
90,속초,2023-03-23 11:00,22
90,속초,2023-03-23 12:00,9
90,속초,2023-03-23 13:00,12
90,속초,2023-03-23 14:00,19
90,속초,2023-03-23 15:00,24
90,속초,2023-03-23 16:00,24
90,속초,2023-03-23 17:00,135
90,속초,2023-03-23 18:00,214
90,속초,2023-03-23 19:00,218
90,속초,2023-03-23 20:00,232
90,속초,2023-03-23 21:00,199
90,속초,2023-03-23 22:00,157
90,속초,2023-03-23 23:00,125
90,속초,2023-03-24 00:00,133
90,속초,2023-03-24 01:00,159
90,속초,2023-03-24 02:00,153
90,속초,2023-03-24 03:00,150
90,속초,2023-03-24 04:00,161
90,속초,2023-03-24 05:00,185
90,속초,2023-03-24 06:00,189
90,속초,2023-03-24 07:00,189
90,속초,2023-03-24 08:00,209
90,속초,2023-03-24 09:00,167
90,속초,2023-03-24 10:00,129
90,속초,2023-03-24 11:00,128
90,속초,2023-03-24 12:00,132
90,속초,2023-03-24 13:00,122
90,속초,2023-03-24 14:00,124
90,속초,2023-03-24 15:00,107
90,속초,2023-03-24 16:00,106
90,속초,2023-03-24 17:00,98
90,속초,2023-03-24 18:00,97
90,속초,2023-03-24 19:00,101
90,속초,2023-03-24 20:00,95
90,속초,2023-03-24 21:00,85
90,속초,2023-03-24 22:00,82
90,속초,2023-03-24 23:00,81
90,속초,2023-03-25 00:00,67
90,속초,2023-03-25 01:00,64
90,속초,2023-03-25 02:00,69
90,속초,2023-03-25 03:00,74
90,속초,2023-03-25 04:00,72
90,속초,2023-03-25 05:00,67
90,속초,2023-03-25 06:00,64
90,속초,2023-03-25 07:00,49
90,속초,2023-03-25 08:00,11
90,속초,2023-03-25 09:00,12
90,속초,2023-03-25 10:00,13
90,속초,2023-03-25 11:00,10
90,속초,2023-03-25 12:00,21
90,속초,2023-03-25 13:00,17
90,속초,2023-03-27 01:00,33
90,속초,2023-03-27 02:00,34
90,속초,2023-03-27 03:00,38
90,속초,2023-03-27 04:00,33
90,속초,2023-03-27 05:00,33
90,속초,2023-03-27 06:00,41
90,속초,2023-03-27 07:00,42
90,속초,2023-03-27 08:00,42
90,속초,2023-03-27 09:00,49
90,속초,2023-03-27 10:00,59
90,속초,2023-03-27 11:00,54
90,속초,2023-03-27 12:00,52
90,속초,2023-03-27 13:00,58
90,속초,2023-03-27 14:00,57
90,속초,2023-03-27 15:00,59
90,속초,2023-03-27 16:00,59
90,속초,2023-03-27 17:00,58
90,속초,2023-03-27 18:00,50
90,속초,2023-03-27 19:00,43
90,속초,2023-03-27 20:00,34
90,속초,2023-03-27 21:00,34
90,속초,2023-03-27 22:00,38
90,속초,2023-03-27 23:00,38
90,속초,2023-03-28 00:00,34
90,속초,2023-03-28 01:00,37
90,속초,2023-03-28 02:00,28
90,속초,2023-03-28 03:00,38
90,속초,2023-03-28 04:00,36
90,속초,2023-03-28 05:00,45
90,속초,2023-03-28 06:00,44
90,속초,2023-03-28 07:00,43
90,속초,2023-03-28 08:00,49
90,속초,2023-03-28 09:00,49
90,속초,2023-03-28 10:00,62
90,속초,2023-03-28 11:00,60
90,속초,2023-03-28 12:00,58
90,속초,2023-03-28 13:00,57
90,속초,2023-03-28 14:00,57
90,속초,2023-03-28 15:00,56
90,속초,2023-03-28 16:00,51
90,속초,2023-03-28 17:00,48
90,속초,2023-03-28 18:00,48
90,속초,2023-03-28 19:00,38
90,속초,2023-03-28 20:00,35
90,속초,2023-03-28 21:00,31
90,속초,2023-03-28 22:00,26
90,속초,2023-03-28 23:00,29
90,속초,2023-03-29 00:00,37
93,북춘천,2023-03-23 01:00,28
93,북춘천,2023-03-23 02:00,32
93,북춘천,2023-03-23 03:00,29
93,북춘천,2023-03-23 04:00,24
93,북춘천,2023-03-23 05:00,32
93,북춘천,2023-03-23 06:00,30
93,북춘천,2023-03-23 07:00,35
93,북춘천,2023-03-23 08:00,40
93,북춘천,2023-03-23 09:00,79
93,북춘천,2023-03-23 10:00,77
93,북춘천,2023-03-23 11:00,46
93,북춘천,2023-03-23 12:00,45
93,북춘천,2023-03-23 13:00,29
93,북춘천,2023-03-23 14:00,34
93,북춘천,2023-03-23 15:00,32
93,북춘천,2023-03-23 16:00,36
93,북춘천,2023-03-23 17:00,42
93,북춘천,2023-03-23 18:00,34
93,북춘천,2023-03-23 19:00,44
93,북춘천,2023-03-23 20:00,40
93,북춘천,2023-03-23 21:00,45
93,북춘천,2023-03-23 22:00,59
93,북춘천,2023-03-23 23:00,62
93,북춘천,2023-03-24 00:00,66
93,북춘천,2023-03-24 01:00,49
93,북춘천,2023-03-24 02:00,49
93,북춘천,2023-03-24 03:00,48
93,북춘천,2023-03-24 04:00,43
93,북춘천,2023-03-24 05:00,41
93,북춘천,2023-03-24 06:00,42
93,북춘천,2023-03-24 07:00,41
93,북춘천,2023-03-24 08:00,47
93,북춘천,2023-03-24 09:00,63
93,북춘천,2023-03-24 10:00,99
93,북춘천,2023-03-24 11:00,112
93,북춘천,2023-03-24 12:00,103
93,북춘천,2023-03-24 13:00,114
93,북춘천,2023-03-24 14:00,134
93,북춘천,2023-03-24 15:00,134
93,북춘천,2023-03-24 16:00,116
93,북춘천,2023-03-24 17:00,112
93,북춘천,2023-03-24 18:00,119
93,북춘천,2023-03-24 19:00,104
93,북춘천,2023-03-24 20:00,91
93,북춘천,2023-03-24 21:00,71
93,북춘천,2023-03-24 22:00,67
93,북춘천,2023-03-24 23:00,53
93,북춘천,2023-03-25 00:00,45
93,북춘천,2023-03-25 01:00,39
93,북춘천,2023-03-25 02:00,34
93,북춘천,2023-03-25 03:00,35
93,북춘천,2023-03-25 04:00,32
93,북춘천,2023-03-25 05:00,32
93,북춘천,2023-03-25 06:00,36
93,북춘천,2023-03-25 07:00,34
93,북춘천,2023-03-25 08:00,44
93,북춘천,2023-03-25 09:00,45
93,북춘천,2023-03-25 10:00,47
93,북춘천,2023-03-25 11:00,50
93,북춘천,2023-03-25 12:00,70
93,북춘천,2023-03-25 13:00,99
93,북춘천,2023-03-25 14:00,101
93,북춘천,2023-03-25 15:00,94
93,북춘천,2023-03-25 16:00,97
93,북춘천,2023-03-25 17:00,105
93,북춘천,2023-03-25 18:00,113
93,북춘천,2023-03-25 19:00,117
93,북춘천,2023-03-25 20:00,98
93,북춘천,2023-03-25 21:00,69
93,북춘천,2023-03-25 22:00,69
93,북춘천,2023-03-25 23:00,58
93,북춘천,2023-03-26 00:00,59
93,북춘천,2023-03-26 03:00,52
93,북춘천,2023-03-26 04:00,57
93,북춘천,2023-03-26 05:00,70
93,북춘천,2023-03-26 06:00,85
93,북춘천,2023-03-26 07:00,98
93,북춘천,2023-03-26 08:00,95
93,북춘천,2023-03-26 09:00,76
93,북춘천,2023-03-26 10:00,74
93,북춘천,2023-03-26 11:00,77
93,북춘천,2023-03-26 12:00,69
93,북춘천,2023-03-26 13:00,69
93,북춘천,2023-03-26 14:00,46
93,북춘천,2023-03-26 15:00,34
93,북춘천,2023-03-26 16:00,49
93,북춘천,2023-03-26 17:00,32
93,북춘천,2023-03-26 18:00,39
93,북춘천,2023-03-26 19:00,60
93,북춘천,2023-03-26 20:00,78
93,북춘천,2023-03-26 21:00,90
93,북춘천,2023-03-26 22:00,87
93,북춘천,2023-03-26 23:00,72
93,북춘천,2023-03-27 00:00,62
93,북춘천,2023-03-27 01:00,48
93,북춘천,2023-03-27 02:00,48
93,북춘천,2023-03-27 03:00,42
93,북춘천,2023-03-27 04:00,41
93,북춘천,2023-03-27 05:00,32
93,북춘천,2023-03-27 06:00,34
93,북춘천,2023-03-27 07:00,45
93,북춘천,2023-03-27 08:00,40
93,북춘천,2023-03-27 09:00,53
93,북춘천,2023-03-27 10:00,55
93,북춘천,2023-03-27 11:00,49
93,북춘천,2023-03-27 12:00,61
93,북춘천,2023-03-27 13:00,64
93,북춘천,2023-03-27 14:00,56
93,북춘천,2023-03-27 15:00,49
93,북춘천,2023-03-27 16:00,43
93,북춘천,2023-03-27 17:00,41
93,북춘천,2023-03-27 18:00,36
93,북춘천,2023-03-27 19:00,41
93,북춘천,2023-03-27 20:00,47
93,북춘천,2023-03-27 21:00,58
93,북춘천,2023-03-27 22:00,57
93,북춘천,2023-03-27 23:00,42
93,북춘천,2023-03-28 00:00,47
93,북춘천,2023-03-28 01:00,37
93,북춘천,2023-03-28 02:00,43
93,북춘천,2023-03-28 03:00,44
93,북춘천,2023-03-28 04:00,35
93,북춘천,2023-03-28 05:00,34
93,북춘천,2023-03-28 06:00,39
93,북춘천,2023-03-28 07:00,36
93,북춘천,2023-03-28 08:00,46
93,북춘천,2023-03-28 09:00,52
93,북춘천,2023-03-28 10:00,48
93,북춘천,2023-03-28 11:00,50
93,북춘천,2023-03-28 12:00,51
93,북춘천,2023-03-28 13:00,53
93,북춘천,2023-03-28 14:00,67
93,북춘천,2023-03-28 15:00,86
93,북춘천,2023-03-28 16:00,106
93,북춘천,2023-03-28 17:00,97
93,북춘천,2023-03-28 18:00,90
93,북춘천,2023-03-28 19:00,88
93,북춘천,2023-03-28 20:00,97
93,북춘천,2023-03-28 21:00,87
93,북춘천,2023-03-28 22:00,76
93,북춘천,2023-03-28 23:00,76
93,북춘천,2023-03-29 00:00,70
94,광덕산,2023-03-23 01:00,10
94,광덕산,2023-03-23 02:00,21
94,광덕산,2023-03-23 03:00,16
94,광덕산,2023-03-23 04:00,23
94,광덕산,2023-03-23 05:00,7
94,광덕산,2023-03-23 06:00,3
94,광덕산,2023-03-23 07:00,7
94,광덕산,2023-03-23 08:00,16
94,광덕산,2023-03-23 09:00,23
94,광덕산,2023-03-23 10:00,20
94,광덕산,2023-03-23 11:00,19
94,광덕산,2023-03-23 12:00,34
94,광덕산,2023-03-23 13:00,38
94,광덕산,2023-03-23 14:00,30
94,광덕산,2023-03-23 15:00,30
94,광덕산,2023-03-23 16:00,42
94,광덕산,2023-03-23 17:00,44
94,광덕산,2023-03-23 18:00,39
94,광덕산,2023-03-23 19:00,42
94,광덕산,2023-03-23 20:00,45
94,광덕산,2023-03-23 21:00,49
94,광덕산,2023-03-23 22:00,60
94,광덕산,2023-03-23 23:00,72
94,광덕산,2023-03-24 00:00,135
94,광덕산,2023-03-24 01:00,216
94,광덕산,2023-03-24 02:00,247
94,광덕산,2023-03-24 03:00,238
94,광덕산,2023-03-24 04:00,224
94,광덕산,2023-03-24 05:00,214
94,광덕산,2023-03-24 06:00,189
94,광덕산,2023-03-24 07:00,199
94,광덕산,2023-03-24 08:00,173
94,광덕산,2023-03-24 09:00,150
94,광덕산,2023-03-24 10:00,100
94,광덕산,2023-03-24 11:00,89
94,광덕산,2023-03-24 12:00,108
94,광덕산,2023-03-24 13:00,113
94,광덕산,2023-03-24 14:00,107
94,광덕산,2023-03-24 15:00,115
94,광덕산,2023-03-24 16:00,113
94,광덕산,2023-03-24 17:00,108
94,광덕산,2023-03-24 18:00,102
94,광덕산,2023-03-24 19:00,100
94,광덕산,2023-03-24 20:00,84
94,광덕산,2023-03-24 21:00,77
94,광덕산,2023-03-24 22:00,70
94,광덕산,2023-03-24 23:00,74
94,광덕산,2023-03-25 00:00,71
94,광덕산,2023-03-25 01:00,69
94,광덕산,2023-03-25 02:00,54
94,광덕산,2023-03-25 03:00,74
94,광덕산,2023-03-25 04:00,68
94,광덕산,2023-03-25 05:00,56
94,광덕산,2023-03-25 06:00,48
94,광덕산,2023-03-25 07:00,54
94,광덕산,2023-03-25 08:00,116
94,광덕산,2023-03-25 09:00,126
94,광덕산,2023-03-25 10:00,101
94,광덕산,2023-03-25 11:00,100
94,광덕산,2023-03-25 12:00,97
94,광덕산,2023-03-25 13:00,104
94,광덕산,2023-03-25 14:00,105
94,광덕산,2023-03-25 15:00,120
94,광덕산,2023-03-25 16:00,127
94,광덕산,2023-03-25 17:00,115
94,광덕산,2023-03-25 18:00,107
94,광덕산,2023-03-25 19:00,106
94,광덕산,2023-03-25 20:00,100
94,광덕산,2023-03-25 21:00,96
94,광덕산,2023-03-25 22:00,95
94,광덕산,2023-03-25 23:00,100
94,광덕산,2023-03-26 00:00,103
94,광덕산,2023-03-26 01:00,104
94,광덕산,2023-03-26 02:00,103
94,광덕산,2023-03-26 03:00,97
94,광덕산,2023-03-26 04:00,101
94,광덕산,2023-03-26 05:00,68
94,광덕산,2023-03-26 06:00,63
94,광덕산,2023-03-26 07:00,60
94,광덕산,2023-03-26 08:00,62
94,광덕산,2023-03-26 09:00,68
94,광덕산,2023-03-26 10:00,56
94,광덕산,2023-03-26 11:00,47
94,광덕산,2023-03-26 12:00,46
94,광덕산,2023-03-26 13:00,48
94,광덕산,2023-03-26 14:00,38
94,광덕산,2023-03-26 15:00,33
94,광덕산,2023-03-26 16:00,30
94,광덕산,2023-03-26 17:00,46
94,광덕산,2023-03-26 18:00,75
94,광덕산,2023-03-26 19:00,93
94,광덕산,2023-03-26 20:00,73
94,광덕산,2023-03-26 21:00,60
94,광덕산,2023-03-26 22:00,48
94,광덕산,2023-03-26 23:00,41
94,광덕산,2023-03-27 00:00,40
94,광덕산,2023-03-27 01:00,31
94,광덕산,2023-03-27 02:00,43
94,광덕산,2023-03-27 03:00,49
94,광덕산,2023-03-27 04:00,49
94,광덕산,2023-03-27 05:00,47
94,광덕산,2023-03-27 06:00,51
94,광덕산,2023-03-27 07:00,47
94,광덕산,2023-03-27 08:00,54
94,광덕산,2023-03-27 09:00,55
94,광덕산,2023-03-27 10:00,52
94,광덕산,2023-03-27 11:00,43
94,광덕산,2023-03-27 12:00,52
94,광덕산,2023-03-27 13:00,43
94,광덕산,2023-03-27 14:00,46
94,광덕산,2023-03-27 15:00,41
94,광덕산,2023-03-27 16:00,31
94,광덕산,2023-03-27 17:00,39
94,광덕산,2023-03-27 18:00,35
94,광덕산,2023-03-27 19:00,42
94,광덕산,2023-03-27 20:00,46
94,광덕산,2023-03-27 21:00,39
94,광덕산,2023-03-27 22:00,30
94,광덕산,2023-03-27 23:00,31
94,광덕산,2023-03-28 00:00,43
94,광덕산,2023-03-28 01:00,45
94,광덕산,2023-03-28 02:00,46
94,광덕산,2023-03-28 03:00,62
94,광덕산,2023-03-28 04:00,61
94,광덕산,2023-03-28 05:00,59
94,광덕산,2023-03-28 06:00,39
94,광덕산,2023-03-28 07:00,29
94,광덕산,2023-03-28 08:00,31
94,광덕산,2023-03-28 09:00,30
94,광덕산,2023-03-28 10:00,30
94,광덕산,2023-03-28 11:00,42
94,광덕산,2023-03-28 12:00,54
94,광덕산,2023-03-28 13:00,65
94,광덕산,2023-03-28 14:00,77
94,광덕산,2023-03-28 15:00,83
94,광덕산,2023-03-28 16:00,86
94,광덕산,2023-03-28 17:00,78
94,광덕산,2023-03-28 18:00,83
94,광덕산,2023-03-28 19:00,85
94,광덕산,2023-03-28 20:00,81
94,광덕산,2023-03-28 21:00,72
94,광덕산,2023-03-28 22:00,78
94,광덕산,2023-03-28 23:00,77
94,광덕산,2023-03-29 00:00,85
100,대관령,2023-03-23 01:00,13
