PassengerId,group,Earth,Europa,Mars,CryoSleep,A,B,C,D,E,F,G,T,55 Cancri e,PSO J318.5-22,TRAPPIST-1e,VIP,scaled_RommService,scaled_FoodCourt,scaled_ShoppingMall,scaled_Spa,scaled_VRDeck,Transported
0001_01,0,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
0002_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.263297923929233,0.5344908771065096,1.0413560711115428,1.588824846852591,1.0258371630165448,1
0003_01,1,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,1.0,1.0128254004860402,1.9903311088185844,0.0,2.219509119437359,1.0550142249214365,0
0003_02,1,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.7409817476982807,1.9139827912035552,2.0427785699814764,1.4266365313281772,0
0004_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.538608300277352,1.0334774022320248,1.623167559980878,1.5960604079303176,0.18790182470910757,1
0005_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,1.503334049607324,0.0,1.4289436118805963,0.0,1
0006_01,1,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.0064890491274203,1.7852379752631296,0.35541805240316376,0.0,0.0,1
0006_02,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0007_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,1.6214760992485144,0.9165882988692126,1.353874859764414,0.0,1
0008_01,1,0,1,0,1.0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0008_02,1,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0008_03,1,0,1,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.9865330685183001,2.1637600069603793,2.0635194371794006,1.1839130391767625,1.3067061761070373,1
0009_01,0,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.1553456790609842,0.0,2.2722945610492538,0.0,1.281524071880482,1
0010_01,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,1.7713030041069637,0.0,1.3504787892383368,0.0,0.8615228201083382,0
0011_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.55995723371683,1.673953405288044,0.8039057008383146,0.1745834300480449,0.5275071124607182,1
0012_01,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.9332620561947168,0.0,2.1919356311574365,0.0,0.0,0
0014_01,0,0,0,1,0.0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.9278720800889795,1.1686130986895011,0.0,0.0,0.0,0
0015_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.7503336001862035,0
0016_01,0,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0017_01,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0017_02,1,1,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.6213562686271006,0.0,0.0,0.0,1.767642778428752,0
0020_01,1,1,0,0,1.0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
0020_02,1,1,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0020_03,1,1,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0020_04,1,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0020_05,1,1,0,0,1.0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0020_06,1,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
0022_01,0,0,0,1,0.0,0,0,0,1,0,0,0,0,0,0,1,0.0,1.8546974309231943,0.1686130986895011,1.3697988845145241,0.0,0.0,0
0024_01,0,0,1,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0025_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,1.3175058591328457,0.0,1.739356557823744,0.0,0
0026_01,0,0,1,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.8323636643738357,2.1191620769053836,0.0,1.831353637615981,1.5703992717689979,0
0028_01,0,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.8918545778683356,0.0,1.589319771521939,0.975041910065606,0.0,0
0030_01,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.6408278561572496,1.421672209612655,1.5313567182157204,1.65792680448325,0
0031_01,1,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.4449634795384503,0.0,2.3461515204922843,0.0,1.9284870102308065,1
0031_02,1,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0031_03,1,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,2.41580993454312,1.737329418923615,0.0,1
0034_01,0,0,1,0,1.0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0035_01,0,0,0,1,0.0,0,0,0,1,0,0,0,0,1,0,0,0.0,1.794608775766909,1.6714429879478456,0.0,1.727206515757211,0.0,0
0036_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,0.0,1.5078250808210603,1.2523933492734656,0.7545370312264479,1.6248732174270277,0
0038_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.7011019507031115,1.2826955369558966,0.0,1.9811066614111148,0.0,0
0039_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0041_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
