sctb_cd,sctb_nm,item1_cd,item1_nm,item2_cd,item2_nm,item3_cd,item3_nm,item4_cd,item4_nm,sttst_unit,sttst_pntm,sttst_vl
200Y001,"2.1.1.1. 주요지표(연간지표)",2010102,"광공업",,,,,,,% ,2001,2.8
200Y001,"2.1.1.1. 주요지표(연간지표)",2010102,"광공업",,,,,,,% ,2000,16
200Y001,"2.1.1.1. 주요지표(연간지표)",2010102,"광공업",,,,,,,% ,1999,20.5
200Y001,"2.1.1.1. 주요지표(연간지표)",2010102,"광공업",,,,,,,% ,1998,-7.2
200Y001,"2.1.1.1. 주요지표(연간지표)",2010102,"광공업",,,,,,,% ,1997,6.2
200Y001,"2.1.1.1. 주요지표(연간지표)",2010102,"광공업",,,,,,,% ,1956,14.7
200Y001,"2.1.1.1. 주요지표(연간지표)",2010102,"광공업",,,,,,,% ,1955,16.3
200Y001,"2.1.1.1. 주요지표(연간지표)",2010102,"광공업",,,,,,,% ,1954,10.6
200Y001,"2.1.1.1. 주요지표(연간지표)",2010101,"농림어업",,,,,,,% ,2021,3.8
200Y001,"2.1.1.1. 주요지표(연간지표)",2010101,"농림어업",,,,,,,% ,2020,-5.8
200Y001,"2.1.1.1. 주요지표(연간지표)",3010203,"(토목건설)",,,,,,,% ,1997,7.3
200Y001,"2.1.1.1. 주요지표(연간지표)",3010203,"(토목건설)",,,,,,,% ,1996,18.4
200Y001,"2.1.1.1. 주요지표(연간지표)",20103,"국민총소득",,,,,,,% ,1956,-0.8
200Y001,"2.1.1.1. 주요지표(연간지표)",20103,"국민총소득",,,,,,,% ,1955,7.1
200Y001,"2.1.1.1. 주요지표(연간지표)",20103,"국민총소득",,,,,,,% ,1954,6.9
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2021,3.1
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2020,0
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2019,-0.1
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2018,1.6
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2017,3.3
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2016,4.4
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2015,6.5
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2014,3.6
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2013,4.3
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2012,2.5
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2011,1.2
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2010,6.9
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2009,2.6
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2008,0.1
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2007,5.6
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2006,3.6
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2005,3
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2004,4.1
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2003,2.6
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2002,8.3
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2001,4
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,2000,6
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,1999,10.5
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,1998,-7
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,1997,4.2
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,1996,6.6
200Y001,"2.1.1.1. 주요지표(연간지표)",20102,"국내총소득",,,,,,,% ,1995,8.9
200Y001,"2.1.1.1. 주요지표(연간지표)",2010107,"순생산물세",,,,,,,% ,2017,2.8
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2018,-2.8
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2017,5.9
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2016,9.8
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2014,1.5
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2013,4.3
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2012,-0.5
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2011,-4.8
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2010,-4
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2009,1.4
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2008,-3.3
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2007,2.4
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2006,0.8
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2004,2
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2003,8.6
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2002,4.2
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2001,4.6
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,2000,-5
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,1999,-7
200Y001,"2.1.1.1. 주요지표(연간지표)",2010105,"건설업",,,,,,,% ,1998,-11.1
