,birthday,entry_year,department,marital_status,performance_rating,job_satisfaction,working_hours,salary,last_year_salary,num_companies_worked,attrition
0,1980-7-20,2013,sales,single,high,very high,8.33,9431500,8923739,8.0,yes
1,1972-11-8,2011,rnd,married,very high,medium,6.93,5170672,4617495,,no
2,1984-5-7,2014,rnd,single,high,high,9.0,9898200,9176045,6.0,yes
3,1988-10-19,2013,rnd,married,high,high,8.33,5673500,5362476,1.0,no
4,1994-7-11,2015,rnd,married,high,medium,7.2,3484080,3284389,9.0,no
5,1989-11-24,2013,rnd,single,high,very high,6.93,6592560,6185550,0.0,no
6,1962-5-4,2009,rnd,married,very high,low,8.33,8281000,7526129,4.0,no
7,1991-8-24,2020,rnd,,very high,high,7.8,6281496,5637167,1.0,no
8,1983-3-22,2011,rnd,single,very high,high,8.67,4741880,4279675,,no
9,1985-5-2,2004,rnd,married,high,high,8.33,9180250,8591717,6.0,no
10,1986-8-12,2015,rnd,married,high,medium,8.33,8266500,7761243,0.0,no
11,1992-6-2,2011,rnd,single,high,high,8.33,4959500,4657682,0.0,no
12,1990-12-21,2016,rnd,,high,high,6.67,2346000,2153874,1.0,no
13,1987-1-12,2018,rnd,,high,very high,8.33,9420500,8920083,,no
14,1993-10-22,2015,rnd,single,high,high,7.5,4294575,4010248,,yes
15,1992-12-25,2011,rnd,,high,low,6.67,4159200,3939009,1.0,no
16,1989-1-27,2014,rnd,,high,medium,8.1,7805889,7353640,0.0,no
17,1999-11-10,2020,rnd,,high,very high,7.8,8955414,8388360,1.0,no
18,1968-12-28,1990,sales,married,high,very high,7.5,7174575,6629620,2.0,no
19,1983-3-12,2015,rnd,single,high,very high,8.1,4162590,3939981,5.0,no
20,1997-7-20,2016,rnd,,high,high,7.2,8442360,7723319,,no
21,1985-9-3,2011,sales,single,very high,low,7.2,7156512,6414369,,yes
22,1987-5-19,2008,rnd,single,high,medium,7.8,4906746,4644340,0.0,no
23,2000-7-21,2021,rnd,single,high,very high,7.5,8492175,8492175,1.0,no
24,1987-9-7,2013,rnd,single,high,low,7.2,7282440,6887770,2.0,yes
25,1968-2-4,1995,rnd,,high,high,6.93,4916496,4643022,4.0,no
26,1989-9-28,2011,rnd,single,very high,low,6.93,5949840,5355391,1.0,yes
27,1979-2-26,2011,sales,married,high,medium,8.67,4832100,4568929,0.0,no
28,1977-9-26,1997,rnd,married,high,very high,9.0,4594050,4281500,3.0,no
29,1975-5-2,1999,sales,single,high,low,8.33,8288750,7818100,3.0,no
30,1988-4-28,2014,rnd,single,high,very high,8.1,7405668,6999686,4.0,no
31,1977-12-7,2012,rnd,married,high,very high,9.0,4477680,4200844,2.0,no
32,1991-12-29,2011,rnd,single,high,high,7.5,7348275,6897845,1.0,no
33,1982-8-15,2002,sales,married,high,very high,7.5,5115825,4760235,3.0,yes
34,1997-3-14,2015,rnd,married,high,very high,8.33,5855250,5397538,,yes
35,1978-1-4,2015,rnd,,high,high,7.8,6564168,6169330,1.0,no
36,1971-2-8,2018,sales,married,high,high,8.33,8536750,7967102,1.0,yes
37,1986-4-2,2019,sales,married,high,very high,9.0,10437120,9795513,1.0,no
38,1985-6-22,2015,rnd,married,high,low,6.67,6676800,6220234,9.0,no
39,1988-10-4,2011,sales,married,high,low,9.0,4393980,4004721,2.0,no
40,1986-6-29,2020,rnd,,high,very high,6.93,6257056,5899543,,no
41,1994-2-26,2020,rnd,,high,low,9.0,3431700,3214707,1.0,no
42,1995-12-2,2020,rnd,single,high,high,9.0,5374350,5069185,1.0,yes
43,1994-10-30,2012,sales,single,high,high,6.67,3059800,2834460,1.0,no
44,1991-4-14,2009,rnd,single,very high,very high,6.67,4579800,4102660,1.0,no
45,1980-8-14,1998,rnd,married,high,high,9.0,5285250,4970610,1.0,yes
46,1987-7-28,2011,sales,single,very high,high,7.5,6661350,6046977,0.0,no
47,1984-9-30,2013,rnd,married,very high,medium,6.93,5904912,5331267,4.0,no
48,1975-8-21,2007,sales,single,very high,very high,7.8,9162738,8271858,4.0,no
49,1986-2-15,2020,rnd,married,high,very high,7.5,3169350,2892006,1.0,no
50,1973-5-24,1998,rnd,single,high,high,7.8,9162738,8564907,9.0,yes
51,1993-10-25,2019,rnd,single,high,high,6.67,3912400,3660211,1.0,yes
52,1977-12-28,2012,sales,,very high,low,8.1,7508457,6766204,5.0,no
53,1986-12-13,2011,rnd,married,high,low,7.2,6953040,6501206,,no
54,1995-9-29,2016,sales,married,high,very high,7.8,4461678,4063459,7.0,no
55,1988-1-25,2006,rnd,single,high,very high,8.33,9757750,9165649,1.0,no
56,1986-7-9,2012,sales,married,very high,low,8.33,7232000,6512968,1.0,no
57,1986-8-1,2017,rnd,married,high,low,6.93,2528032,2349472,3.0,no
